company,company_rating,title,uppers,downers,advice,date,author
"Deloitte Consulting LLP
",4,“Partner in IT Operations & Implementation”,"The ability to meet the clients needs with the brest skills in the industry
","
Lack of partner opportunities in management
","
It is the best firm in the world if you care about doing great work for your clients and driving real value in your engagements. The commitment to excellence with clients and the skillsets in the areas we serve are the best in the industry","Chicago, IL2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in IT Operations & Implementation”,"Challenging Assignments, High Quality of Work, Staying Current with Technology Trends, Prestige
","
Work-life Balance",,"San Jose, CA2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Government/Public Sector”,"Challenge and working with exceptionally talented people. Charitable contribution and 401K match. Pension.
","
Expectation to work extra hours for firm growth. Being penalized in performance ratings if you do not.
","
Ask the questions on what is expected of you to advance or be compensated. Clearly understand the expectations for utilization (Hours worked) and their impact on your vacation.","Arlington, VA2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Strategy”,"social impact strategy
","
lack of predictability",,"Boston, MA2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Business Operations”,"The people and culture
","
Outdated firm point of view on flexibility and work/life balance",,"Atlanta, GA2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in IT Operations & Implementation”,"Open culture, good clients, good growth of firm
","
Relatively lower compensation and difficult personal growth prospects",,"Houston, TX2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"The people
","
Travel",,2014,VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in IT Strategy”,"Pay cheque and Opportunities to grow
","
work life balance",,"Pittsburgh, PA2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Government/Public Sector”,"Firm culture, career training/development, total rewards, talented and intelligent colleagues
","
Work hours, issues with project staffing process (including alignment to experience and background), transparency of performance management process",,"Arlington, VA2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in IT Operations & Implementation”,"
Very few partners being made.",,,"Newark, NJ2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"The challenges and the colloboration among staff
","
The hours, and ever changing promotion opportunities",,"New York, NY2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Partner in Retail & Consumer Goods”,"--
","
Parochial
","
-","McLean, VA2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"Living where you want to live
","
No innovation
","
Deloitte's compensation is considerably lower than Bain, BCG, McKinsey. If you have a cross-offer, there is little reason to choose Deloitte.","Chicago, IL2014",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in IT Operations & Implementation”,"Clients, culture, leadership
","
None
","
Great place to work
Every technologist will be working with amazing clients and latest and greatest technologies
People, practice and community development","Los Angeles, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Other in Strategy”,"Feeling supported 110% by Firm Leadership
","
Work/Life balance at times can be skewed
","
People at Deloitte are consulting because they love that line of work","Los Angeles, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Strategy”,"The unique opportunities and trust that enables 1st and 2nd years to work confidently with C-suite exeuctives is fantastic.
","
The travel can be a bit much
","
Trust your gut and choose the firm with the most opportunities for you to shine.","San Francisco, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in IT Strategy”,The people.,,,"Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"smartest people in teh world,
","
a bad client can make things very difficult
","
very interested in training you and help you develop in your career","Philadelphia, PA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Financial Services”,"Very intelligent set of people to work with and a collaborative approach to problem solving
","
Rate of compensation increase and bonus amount",,"New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"Compensation, Culture, People
","
Practive Development Contribution Requirements (additional work outside of client work)",,"Boston, MA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Energy & Utilities”,Partnership - reduces the Corporate bureaucracy,,,"Houston, TX2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Retail & Consumer Goods”,"I think the firm truly cares about me and my career. I have used many of the firms resources to navigate the highs and lows of my career and have found that the
","
The travel and time committments. If you want to reach the pinnacle of the career apex here in Deloitte you have to put the time into it. It tends to burn many out or causes them to take a different career path.
","
You have to join the firm knowing what your goals are and know that you are willing to work towards those goals. We are very much a work hard play hard type of environment where you get out of your career what you put into it. I am very happy with what I can do, what I have accomplished, and what I see as my future is in the firm. It takes personal sacrifice but I believe that it will pay off in the end.","Cleveland, OH2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"opportunity
","
traveling with few breaks
","
when choosing consulting, remember it's a lifestyle, but you have much more exposure at a younger age. And you have to enjoy who you are working wtih because sometimes you see those people more than your close friends","McLean, VA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in IT Strategy”,"The culture of people that work around me; they make me want to develop more personally and professionally
","
Pressure to evolve yourself",,2013,VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Financial Services”,"People
","
Travel (not specific to firm - specific to consulting)",,"New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Strategy”,"We employee the best people. I really like working with my colleagues - it ""ups my game""",,,"Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Financial Services”,"Interesting work, great development opportunities and support, intelligent and fun people
","
Requirements for travel and the impact on work / life balance",,"McLean, VA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Human Resources”,The people I work with.,,,2013,VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Retail & Consumer Goods”,"The people and the culture
","
The time extracurriculars demand
","
You can have a long and fulfilling career at Deloitte... the key is finding balance and aligning to work that motivates you. Fortunately, we are a large firm - there are opportunities here for everyone.","New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in IT Operations & Implementation”,"The opportunites to work with the biggest and best companies on some exciting projects along with the ability to have a small firm feel in a big firm due to the importance of our culture.
","
The travel and hours worked.
","
Our firm is the world's largest management consultancy which provides you unlimited opportunities to work with the biggest and best companies on exciting projects. Although the firm is big, the importance of culture and community allow it to retain a small firm feel.","Dallas, TX2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Financial Services”,"1) solving challenging, complex client problems, 2) collaborative, collegial culture 3) high caliber, down to earth multi-dimensional people, 4) rich development opportunities and accelerated learning
","
1) demanding hours, 2) travel",,"San Francisco, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel”,The work and the people,,,"Austin, TX2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Health Care and/or Pharmaceuticals”,"Breadth and depth of the work I do; compensation package; the culture (I love the people I work with)
","
Work/life balance is a continued struggle though the firm works with you for creative solutioning
","
Consider what you're good at, and choose a firm that lets you showcase your strengths. Be prepared to answer ""why you want to work for a specific consulting firm"". Practice your business cases because they are the differentiator for receiving an offer","Boston, MA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in IT Operations & Implementation”,"Mentoring, culture, people
","
Many long hours",,"Charlotte, NC2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Human Resources”,"The clients we serve and the people who are part of Deloitte
","
It's not easy being the best firm ... market and client expectations are extremely high (though I wouldn't have it any other way)",,2013,VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Business Operations”,"culture and ability to form my own career
","
N/A
","
will open many doors for many different opportunities and experiences now and in the future","New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Business Operations”,"Open culture
","
performance management - top performers (in client work) are not always highly rewarded",,"New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Retail & Consumer Goods”,"The people and the opportunities that are available to you both in your client work and non-client work.
","
The travel is the toughest part.
","
As an employee at Deloitte, you will gain an immense amount of experience in a variety of industries, market offerings, etc. You can learn as much as you are looking for and more. And finally, the people you meet along the way (both Deloitte and clients) will make a life-long impact.
If your a high-achiever, looking to work with great people and have a strong drive for self development, you will be very happy at Deloitte.","Charlotte, NC2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Human Resources”,"Culture, people, flexible work policies",,,"Los Angeles, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in IT Operations & Implementation”,"Work challenges, colleagues, competitiveness in the marketplace
","
Pace, work/life balance",,"Harrisburg, PA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Retail & Consumer Goods”,Ownership of own career,,,"Detroit, MI2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Human Resources”,"Our people and our extended network. Our Innovation and ability to execute.
","
We need to balance work, life and client demands better. We are high performance talent...expectations are higher however the path to maintain that high performance over the long term is not as strong as it should be.
","
We are competitive and have an excellent culture. We do have our issues to be resolved and I think we know that and are working towards their resolution.","Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"The people
","
retirement benefits
","
Great place to work if you want to work hard to move your career forward.","Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Energy & Utilities”,"Interesting engagement, great colleagues, flexibility
","
Changing strategy and org.",,"Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel”,"Bright, collaborative colleagues, challenging work, opportunities for growth and advancement, professional development
","
Long hours and travel
","
Consulting is a difficult lifestyle and Deloitte is constantly evaluating how to make it more manageable for employees while still delivering the highest quality to it's clients.
Deloitte offers the unique range of services in that it offers strategy and advisory services through to implementation support.","Los Angeles, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"Culture, People, Opportunities
","
Travel, Long Hours",,"Boston, MA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"The people and the opportunities for continued growth
","
Balancing client demands and with expectations on internal initiatives
","
Unbelievable place to grow a career as a destination or to gain key skills that can be applicable to other career opportunities.","New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Business Operations”,"The opportunities and the challenge
","
Inffexibie promotion schedule, a lot of work",,"Detroit, MI2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"The access to resources, both people and technologies.
","
Saying ""No"" to additional work and responsibilities is difficult",,"Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Government/Public Sector”,"People, strong commitment to learning,and flexibility to design your own career path.
","
Travel, long hours.",,"Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Government/Public Sector”,"to Candidates
While there is certainly great opportunity, you need to be able to make a commitment. Deloitte has a very strong culture with a strong sense of self. Fitting in to that culture and thriving in that culture takes time, energy, and patients.",,,"Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"Culture, people and clients
","
work life balance
","
Deloitte's great. I highly recommend.","Los Angeles, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"Collegial environment and mentorship opportunities
","
Work life balance.
","
We're a big firm with a small feel and you'll meet some colleagues for life here no matter where you go in your career.","New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Strategy”,"The people and the ability to practice across a broad range of industries and service lines
","
Expectation on extra-curriculars can be unrealistic.",,"Boston, MA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Management”,"opportunity, to a point
","
work/life balance",,"Seattle, WA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in IT Strategy”,"The people, leadership, and culture
","
Travel requirements",,"Seattle, WA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel”,"People
","
Travel",,"Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Human Resources”,"Opportunity, flexibility, culture and people
","
Travel and hours",,"Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Financial Services”,"New opportunities, exciting client projects, the opportunity to work on emerging solutions
","
The overhead and/or rework that results from not having a centralised model
","
There are many motivated, driven people in the firm. To succeed, ensure that you build your own brand early and become known for something worthwhile","San Jose, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"The people
","
The travel
","
Great opportunities, great clients, great colleagues.","Dallas, TX2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Financial Services”,"Flexibility in hours and location
","
sometimes unpredictable
","
great exposure to many different areas of work.","Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel”,"The people, the challenging work and the pace of change.
","
The politics of partnership and the endless demands.
","
I've never been anywhere better. The quality and character of my peers and fellow practitioners are exceptional. They are the biggest reason I stay and wake up every morning - because they challenge as much as any other part of the job and their company makes it all fun.","Detroit, MI2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Financial Services”,"Talented poeple
","
Challenging metrics",,"Boston, MA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"opporunties and compensation
","
work life balance
","
networking is the biggest key to unlock the kingdom","New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced”,"Culture and closeness we have with our peers and clients
","
Being ""on call"" 24/7",,"New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Health Care and/or Pharmaceuticals”,"The people, absolutely
","
being able to balance it all
","
be yourself, find a good fit for you and find a place where you have the support to do well","Pittsburgh, PA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Health Care and/or Pharmaceuticals”,People,,,"Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced”,"firm culture and project opportunities
","
bureaucratic",,"McLean, VA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Other in Management”,"Culture is great - there is a constant focus on taking the high road and focusing on the core mission of providing excellent client services, with plenty of opportunities to socialize with colleagues.
","
The travel can be tough and you are always on; that said, those are known quantities that can be managed through effective time management and a bit of discipline.
","
Deloitte is a great opportunity to work in one of the most competitive fields in the world. We are always looking for the best and brightest to join our ranks.","Boston, MA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"flexibility, ability to drive my own carreer
","
no place for status quo, must always be reaching, dialed down workstyle for any period time of time has little respect from colleagues",,"Minneapolis, MN2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Human Resources”,"People
","
Travel",,"Pittsburgh, PA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"Exposure, promotions, compensation
","
Slow to innovate, risk-adverse",,"San Francisco, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Human Resources”,"People are great. They recognize hard work. Good benefits and compensation. Challenging work with responsibility
","
Hours can be erratic and long. Work can be very demanding",,"New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"Bright people, flexibiilty, great culture
","
long workday, hard to disconnect from work",,"Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"Smart people
","
Exhausting
","
Be flexible and ready to travel. Ensure your family understands the committment.","New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Strategy”,"Culture, growth of the firm, ability to ""own your career""
","
Work life balance, over emphasis on networking
","
Fantastic place to work. If you know what you want to do and are passionate about it, you can make it happen here...but...be patient.","New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"Great people, interesting projects, fair compensation
","
Still has a bit of audit mentality, long hours",,"Houston, TX2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Human Resources”,"The ability to customize a career path in such a large professional network and the access to large company resources with an entrepreneurial (but collaborative) culture.
","
Dealing with the turnover of trusted colleagues, maintaining a work/life balance, and keeping track of leadership / organizational changes.
","
This is a great place to start or continue a career for anyone interested in pursuing the business and/or consulting profession. There are very few companies that can offer the same breadth and depth of opportunity and experience. In other words, it can be the perfect place to specialize in a particular area, or the perfect place to explore your options. We also have an excellent reputation in the market and a globally expanding footprint.
However, working for such a large firm is not ideal for everyone. The candidates that find the greatest success are those able to view challenges as opportunities, to adapt to situations on the fly, and to build meaningful networks by supporting colleagues.","Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced”,"development, flexibility, compensation
","
travel, status quo bias, firm initiative requirements",,"Pittsburgh, PA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Human Resources”,"People and Culture
","
Hours and the focus on so much internal work",,"Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Human Resources”,"Working for the market leader in my field
","
Not being sufficiently recognized (in terms of my current job level) for my skills and experience",,"New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Retail & Consumer Goods”,"Mentorship & investment in practitioner development by firm leaders
","
Travel requirements
","
Great culture, colleagues & leaders that will personally invest in driving your success and a diverse breadth of service areas/networks to practice.","Cleveland, OH2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"Opportunity, Client exposure, Leadership potential, People
","
Lack of intellectual curiosity, Compensation, Inability to break-out of networks",,"Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"the people, their knowledge, the clients
","
the pace, the intensity, the hours",,"New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"the people and the values
","
up or out mentality",,"Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Entry-level in IT Operations & Implementation”,"People
","
Diverse Experiences",,2013,VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"Challenging work and great, smart people
","
Travel commitments
","
Deloitte can be a very rewarding career if you are willing to work hard and smart.","Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Health Care and/or Pharmaceuticals”,"Career development, people/network, challenging work and client impact
","
Work/life balance, travel, preventing burnout
","
Know what you are signing up for in terms of travel, lifestyle, and be willing to push yourself beyond your comfort zone.","Cleveland, OH2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Human Resources”,"Big variety of work, great and smart people, good comps & ben
","
work life balance
","
you own your career","Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Human Resources”,"Impactful client engagements and great talent to work with.
","
Work life balance challanges",,"Parsippany, NJ2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Government/Public Sector”,"Exposure to incredibly bright people. Great learning opportunities.
","
The hours and demands.",,"Philadelphia, PA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Government/Public Sector”,"Leadership
","
Time requirements, work/life balance, difficulty taking vacations
","
There are pros and cons with any large firm. From my experience and knowledge of these other firms, Deloitte does a good job leading industry, working with integrity, and legitimately investing in their employees.","Arlington, VA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced”,"Challenging Projects and Pretigious clients
","
Travel",,"Los Angeles, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Strategy”,"Responsibility. Regardless of level you are given as much responsibility as you can handle. Analysts can present to CEOs if they demonstrate they are able to
","
Large and bureaucratic. No matter how good you are, you are a replaceable commodity",,"Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"Interesting work
","
Challenging work/life environment",,"Los Angeles, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Government/Public Sector”,"More money and top notch career opportunities
","
No life
","
If you are passionate about your career and want to make more money than your friends, work for Deloitte. If you are looking for work-life balance, this is not the place. You can easily get disappointed.","Arlington, VA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Management”,"The people and opportunities
","
Long hours",,"San Francisco, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"Great place to work with diverse clients, good talent, and grow your expertise and career
","
Work/life balance
","
It is a great place to work. I feel candidates that start at Deloitte can be very successful and grow into a partner much faster than an experienced hire into the Firm which is truly based on your ability to network and demonstrate your capabilities for a longer period.
I think it is a great place to work if you are a self starter and really want to work in a dynamic career that will help you become successful whereever you might end up.","Parsippany, NJ2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Government/Public Sector”,"The cultural, ability to own your career, and the innovation.
","
Work/life balance, and the ability to utilize the tools we have to work remotely.
","
Be sure to consider your personal and professional goals when evaluating an opportunity at Deloitte. Our culture is highly competitive and demanding. You will have many opportunities to explore different industries and capabilities, but you should have an understanding of what you want out of your career and be willing to take ownership of that to achieve success.","Denver, CO2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Management”,"fantastic learning opportunities, interesting work, great firm culture, great place to start a career and build expertise
","
work life balance (the firm tries to foster this but still 4 days a week of travel is the norm), unfair compensation (those with MBAs paid more than those without in the same or higher level jobs)",,"Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Government/Public Sector”,"Investment and Rewards for High Performers, Compensation
","
Work life balance",,"Washington, DC2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Business Operations”,"Culture, apprenticeship, breadth and flexibility
Advice to Candidates
Life at Deloitte is what you make of it!
There is a significant amount of flexibility / variety of work and opportunities available. you need to figure out what you want to be and fit it in with your life / work.
Culture and community building is a huge focus at Deloitte so we can develop / groom well-rounded individuals and leaders of the future (whether at the firm or at clients)",,"
Life at Deloitte is what you make of it!
There is a significant amount of flexibility / variety of work and opportunities available. you need to figure out what you want to be and fit it in with your life / work.
Culture and community building is a huge focus at Deloitte so we can develop / groom well-rounded individuals and leaders of the future (whether at the firm or at clients)","Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Government/Public Sector”,"People, broad skillset, ability to tackle any problem for any client
","
work-life balance
","
Overall, you will not find a more diverse, hard-working, intellectual culture in any other firm than Deloitte. Hands down we have the best of the best working at Deloitte.","Minneapolis, MN2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Retail & Consumer Goods”,"The people and the clients
","
Work/life balance and the sheer volume of hours that are worked",,"Dallas, TX2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in IT Strategy”,"flexibility
","
administrative overhead, murky/complex payment band,",,"Los Angeles, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Retail & Consumer Goods”,"Unique client experiences and opportunities, coworkers, exposure to various industries and clients, Diversity
","
Travel, Practice Development (internal initiatives)",,"San Francisco, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"The career opportunities
","
The amount of time you have to commit to the firm
","
Be prepared to work extremely hard, but be rewarded for your work. The work itself is extremely meaninful.","Atlanta, GA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Financial Services”,"Great people, good compensation, opportunity to work on a number of different things, ability to move between capabilities
","
Possiblity of getting on a very bad project, long hours at times, performance management process
","
Getting a Big 4 firm on your resume, whether Deloitte or someone else, will do nothing but help your career. As you move through the ranks, things will only get tougher, but that is how you play the game, and at the end of the day, you will be a more marketable candidate for other positions after a Big 4 stint.","Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Business Operations”,"Entreprenuerial and supportive culture
","
Work life balance",,2013,VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Financial Services”,"Inclusive environment, top clients who value our services, recruit best and brightest, reward well
","
Too much focus on internal initiatives (on top of client work), poor experienced hire integration, unbalanced work-life for many leaders
","
Great place to work and flourish in your career; need to set boundaries with respect to work-life or it will be subsumed by work, open and inclusive environment where you will grow perosnally and professionally","New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Health Care and/or Pharmaceuticals”,"Level of Talent, Compensation, Vacation, Benefits
","
Large workload, travel",,"New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Human Resources”,"The people and the clients
","
Travel and extracurricular work",,"Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced”,"our people and flexible culture
","
work life balance with travel can be challenging",,"New York, NY2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Midlevel in Human Resources”,"Prestige, Diversity of clients and experiences, Opportunity to try new things, Training availability
","
Work/Life balance, lack of cohesive collegiate feeling in Consulting since we don't see peers that often
","
Great firms, great opportunities to learn, but experience is based on project you are on at the time. Set expectations for traveling and firm will try to accommodate, but it depends on the client.","San Francisco, CA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Entry-level”,"Culture, Community Involvement
","
Work-Life Balance
","
Deloitte is huge, really understand the practice area you are joining and make sure you know it's a match.","Detroit, MI2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Government/Public Sector”,"Experience and confidence it builds
","
Work life balance, high burn out rate, pitiful benefits, independence restrictions
","
There are no 40 hour weeks. Expect to work 50 - 100 hours per week.","Arlington, VA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in IT Operations & Implementation”,"Prestige, quality of clients
","
work life balance",,"Seattle, WA2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Executive in Financial Services”,"Deloitte is a great company iwth a great future.
","
Career life balance does not exist.",,"Chicago, IL2013",VERIFIED EMPLOYEE
"Deloitte Consulting LLP
",4,“Experienced in Government/Public Sector”,"People recognize the brand.
","
I'm exhausted.
","
The firm has a very high expectation for each and every one of you. If you don't think that you can sustain that for a long period of time, the firm is not for you. If you thrive in high-stress, and constant challenge, this may be it for you.","Arlington, VA2013",VERIFIED EMPLOYEE
