,index,Survey_Question,SEAF_Vectors,Unnamed_2,Master_Framework,"('indicator_from_Master_Framework_',)","('What_Works',)","('Trigger_for_Recommending_What_Works',)","('SEAF_Themes',)","('Type',)","('SEAF_Scoring_parameter',)",vector,parameter,par
137,136,Does the company share gender metrics with their employees?,Safe & healthy workplace environment  ,,"WRK_SRMANG_F_1030,WRK_WAGEGP_T_1039","% of senior and middle management positions held by women, % gender wage gap",Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,Gender Equality,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
138,137,Does the company commit to following international standards or best practices on occupational health and safety beyond compliance with national minimum requirements?,Safe & healthy workplace environment  ,,"WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","# of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Occupational Health & Safety,"Practice,Policy","Yes/no response contributing to sub-parameter score
",,,
139,138,Does the company advocate for gender equality and women's empowerment and promote this commitment in public forums?,Safe & healthy workplace environment  ,,,,"Inspire, motivate, and encourage young girls to study STEM subjects and to strive for a career in STEM industries (Attraction)*Participate in gender equality and diversity awards, rankings certification processes (Company Performance & Reporting)*Build a successful employer brand that is attractive to female candidates and individuals with diverse social identities (Corporate Branding)*Showcase company commitment to gender equality, diversity, and inclusion through membership in relevant networks, associations, and conferences (Corporate Branding)*Showcase company commitment through adoption of international standards and participation in rankings or awards on gender equality, diversity, and inclusion (Corporate Branding)",No,"Gender Equality,Women's Empowerment",Practice,"Yes/no response contributing to sub-parameter score
",,,
140,139,"Does the company track health and safety incidents, disaggregated by sex?",Safe & healthy workplace environment  ,,"WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","# of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers","Collect, analyze, and report sex-disaggregated data on occupational injuries and diseases",No,Occupational Health & Safety,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Measurement
141,140,"Does the company report publicly to company stakeholders on the percentage of operations in local community engagement, impact assessments and/or development programs (including reporting on the use of gender impact assessments and participatory community consultation processes that include vulnerable groups)?",Safe & healthy workplace environment  ,,,,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Local Community,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Accountability and Transparency
142,141,"Does the company have a process in place to monitor/ audit business travel and client entertainment expenses to detect inappropriate business expenses such as company funds being used to sexually exploit women and girls or adult ""entertainment"" involving nudity or lewd behavior?",Safe & healthy workplace environment  ,,"TRF_ADULTV_F_1027,TRF_CHILDV_F_1029","# of detected trafficking victims that are women, # of detected trafficking victims that are girls",Adopt a survivor-centered sexual harassment and gender-based  violence (GBV) policy including grievance management (Policies),No,"Business Travel,Client Entertainment",Practice,"Yes/no response contributing to sub-parameter score
",,,
143,142,Does the company develop ways of addressing gender-based violence outside of the organization in the surrounding community?,Safe & healthy workplace environment  ,,GBV_PHYSEX_F_35,% of women age 15-49 who have ever experienced physical or sexual violence,Leverage local role models and engage communities in AGYW empowerment programs,No,"GBV,Local Community",Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation
144,143,Does the company impose appropriate safety practices for women employees on business travel such as traveling modes and choices of accommodations?,Safe & healthy workplace environment  ,,,,Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Business Travel,Practice,"Yes/no response contributing to sub-parameter score
",,,
145,144,Does the company engage in gender diversity awareness campaigns or initiatives in the community?,Safe & healthy workplace environment  ,,,,"Prepare the company to be seen as inclusive for women with diverse social identities (Attraction)*Showcase company as a good place for women with diverse social identities to work (Attraction)*Invite girls with diverse social identities to become familiar with the company (Attraction)*Conduct outreach to educational institutions that leads to long-term attraction of female job candidates with diverse social identities (Talent Outreach)*Offer scholarships to female students with a focus on STEM subjects (Talent Outreach)*Offer supervision of master thesis or paid master thesis contract with a focus on female students (Talent Outreach)*Participate in (university) career fairs and regional job fairs to recruit qualified women with diverse social identities (Recruiting)*Develop or join communication campaigns and organize events to promote gender equality, diversity, and inclusion (Corporate Communications & Branding) *Leverage local role models and engage communities in AGYW empowerment programs",No,Local Community,Practice,"Yes/no response contributing to sub-parameter score
",,,
146,145,Does the company report its progress and target improvements on sexual harassment and gender-based violence in the workplace (if any) to the Board of Directors?,Safe & healthy workplace environment  ,,"WRK_WRYHAR_F_4056,WRK_HARASS_F_4057","% of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years",Adopt a survivor-centered sexual harassment and gender-based  violence (GBV) policy including grievance management (Policies),No,"Sexual harassment,GBV",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
147,146,Does the company follow health and safety regulations and related requirements?,Safe & healthy workplace environment  ,,"WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","# of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Occupational Health & Safety,Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Occupational Health and Safety,Commitment
148,147,Does the company develop a clear Sexual Harassment Policy and commitment to preventing and responding to gender-based violence?,Safe & healthy workplace environment  ,,"GBV_HRSPEN_T_163,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,WRK_SEXHAR_F_92","Are there criminal penalties or civil remedies for sexual harassment in employment?, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, Is there legislation on sexual harassment in employment?",Adopt a survivor-centered sexual harassment and gender-based  violence (GBV) policy including grievance management (Policies)*Implement a fair and respectful process and mechanisms for reporting and handling violations of policies (Government Management),No,"Sexual harassment,GBV","Policy,Practice","Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Commitment
149,148,Does the company develop training and awareness-raising activities around gender equality and gender-based violence?,Safe & healthy workplace environment  ,,"WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,GBV_PHYSEX_F_35,GBV_JSTIFY_F_70","% of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, % of women age 15-49 who have ever experienced physical or sexual violence, % of women that agree that a husband is justified in beating his wife under certain circumstances","Develop and conduct gender awareness, anti-discrimination, diversity and inclusion, and unconscious bias trainings (Training)*Provide company-wide employee and specialized management training on gender equality and diversity strategies, policies and codes of conduct (Training)*Provide training to all male and female employees and managers on what sexual harassment is, how to prevent it, report it, and respond to it with a survivor-centered approach (Training)*Support male engagement through identification of male change agents and motivating them to act as promoters and ambassadors for gender equality (Corporate Culture)",No,"Gender Equality,GBV",Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation
150,149,"Does the company have a policy to continuously assess risks regarding its adverse impact on the health and well-being of employees, including their sexual and reproductive health and rights as well as mitigation plans?",Safe & healthy workplace environment  ,,"ENV_HLTCOV_T_2017,WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","% of population with coverage of essential health services, # of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Healthcare,Policy,"Yes/no response contributing to sub-parameter score
",,,
151,150,Does the company implement monitoring and evaluating policies/actions/measures to tackle gender-based violence?,Safe & healthy workplace environment  ,,"GBV_HRSPEN_T_163,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,WRK_SEXHAR_F_92,GBV_PHYSEX_F_35","Are there criminal penalties or civil remedies for sexual harassment in employment?, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, Is there legislation on sexual harassment in employment?, % of women age 15-49 who have ever experienced physical or sexual violence",Adopt a survivor-centered sexual harassment and gender-based  violence (GBV) policy including grievance management (Policies),No,GBV,"Practice,Monitoring & Evaluation","Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation
152,151,Does the Board of Directors establish and track Key Performance Indicators concerning gender equality and women's economic empowerment?,Safe & healthy workplace environment  ,,,,Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,"Women's Empowerment,Gender Equality",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
153,152,Is there a program to promote the role model for women employees in the company?,Safe & healthy workplace environment  ,,WRK_SRMANG_F_1030,% of senior and middle management positions held by women,"Use internship programs for direct hiring, with gender parity in intern placements and hiring (Hiring)*Consider targeted hiring to fill open positions and increase overall percentage of women in the company in general and/or in the technical areas (Recruiting & Hiring)*Encourage managers and other employees to integrate and â€œsocializeâ€ new hires for their first year (Onboarding)*Develop and implement a â€œbuddy systemâ€ for new employees as part of onboarding (Onboarding)*Provide mentoring for women with diverse social identities to cultivate their talent and mentoring for men to foster male allies (Talent Development)*Provide sponsorship for women with diverse social identities to make them more visible for promotion (Leadership Development)",No,Leadership,Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation
154,153,Does the company develop a reporting procedure to confidentially report violent or inappropriate behavior?,Safe & healthy workplace environment  ,,"GBV_HRSPEN_T_163,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,WRK_SEXHAR_F_92","Are there criminal penalties or civil remedies for sexual harassment in employment?, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, Is there legislation on sexual harassment in employment?",Implement a fair and respectful process and mechanisms for reporting and handling violations of policies (Government Management),No,Workplace Behavior & Violence,Practice,"Yes/no response contributing to sub-parameter score
",,,
155,154,"Does the company regularly conduct health and safety audits, including independent ones, in an eï¬€ort to prevent incidents, etc.?",Safe & healthy workplace environment  ,,"WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","# of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers","Develop gender-sensitive occupational health and safety protocols, and mitigate occupational injuries and diseases through training, awareness-raising, and audits",No,Occupational Health & Safety,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
156,155,Does the company require gender-sensitive training for security personnel (including contracted staï¬€) on procedures to respond to complaints of gender-based violence or harassment?,Safe & healthy workplace environment  ,,"WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,GBV_HELPSK_F_37","% of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, % of ever-married women who have ever experienced any physical or sexual violence who sought help to stop violence","Provide training to all male and female employees and managers on what sexual harassment is, how to prevent it, report it, and respond to it with a survivor-centered approach (Training)",No,"Sexual harassment,GBV",Practice,"Yes/no response contributing to sub-parameter score
",,,
157,156,Does the company have an organization-wide gender equality strategy that was developed in consultation with employees?,Safe & healthy workplace environment  ,,,,"Establish system of regular check-ins with new hires in first year of employment (Onboarding)*Use workplace climate and employee satisfaction surveys to identify gender equality and diversity and inclusion challenges (Retention)*Engage senior leadership and staff in gender equality, diversity, and inclusion efforts (Employment Engagement) *Establish family leave policies meeting the stated needs of parents and  employees caring for sick family members (Policies)",No,Gender Equality,Practice,"Yes/no response contributing to sub-parameter score
",,,
158,157,Does the company have transparent community grievance and resolution mechanisms in place?,Safe & healthy workplace environment  ,,,,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Environment,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation
159,158,Has the company designated an occupational safety oï¬ƒcer or its equivalent to oversee the operations of the company?,Safe & healthy workplace environment  ,,,,"Develop gender-sensitive occupational health and safety protocols, and mitigate occupational injuries and diseases through training, awareness-raising, and audits",No,Occupational Health & Safety,Practice,"Yes/no response contributing to sub-parameter score
",,,
160,159,Does the company provide private and hygienic facilities for new mothers to be able to breastfeed their babies or pump breastmilk at work?,Safe & healthy workplace environment  ,,,,Establish policies to promote reconciliation of work-life and family-life (Policies),No,"Workplace Infrastructure,Care Duties",Practice,"Yes/no response contributing to sub-parameter score
",,,
161,160,Does the company provide access to transportation to and from work and while on business travel (including in environments where public transport is unsafe or unavailable)?,Safe & healthy workplace environment  ,,GBV_SAFETY_F_34,% of women ages 15+ who report that they feel safe walking alone at night in the city or area where they live,Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Transportation,Practice,"Yes/no response contributing to sub-parameter score
",,,
162,161,"Where applicable, does the company provide training to staï¬€ on ergonomics, exposure to hazardous materials, and other occupational risks, taking into account the diï¬€erential biological impacts of health and safety on women and men?",Safe & healthy workplace environment  ,,"ENV_FMPOIS_F_5007,ENV_HLTCOV_T_2017,WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","Female mortality rate attributed to unintentional poisoning (per 100,000 female population), % of population with coverage of essential health services, # of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Occupational Health & Safety,Practice,"Yes/no response contributing to sub-parameter score
",,,
163,162,"Does the company report to the Board of Directors on the percentage of operations with local community engagement, impact assessments and/or development programs (including reporting on the use of gender impact assessments and participatory community consultation processes that include vulnerable groups)?",Safe & healthy workplace environment  ,,,,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Local Community,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Accountability and Transparency
164,163,"Does the company have an investigation panel? If so, is the investigation panel gender-balanced?",Safe & healthy workplace environment  ,,"GBV_HRSPEN_T_163,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,WRK_SEXHAR_F_92","Are there criminal penalties or civil remedies for sexual harassment in employment?, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, Is there legislation on sexual harassment in employment?",Implement a fair and respectful process and mechanisms for reporting and handling violations of policies (Government Management),No,Workplace Behavior & Violence,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
165,164,Does the company regularly check company grounds to ensure they are adequately lit and secure?,Safe & healthy workplace environment  ,,"GBV_SAFETY_F_34,GBV_PHYSEX_F_35,WRK_HARASS_F_4057,WRK_WRYHAR_F_4056","% of women ages 15+ who report that they feel safe walking alone at night in the city or area where they live, % of women age 15-49 who have ever experienced physical or sexual violence, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Workplace Infrastructure,Practice,"Yes/no response contributing to sub-parameter score
",,,
166,165,Does the company promote a flexible schedule and work environment?,Safe & healthy workplace environment  ,,CAR_MINUTE_F_122,# of minutes per day that women spend on unpaid care work,Create working conditions that support improved reconciliation of work and family life for women and men with care duties (Benefits)*Introduce job sharing for management functions and other key roles (Leadership Development)*Establish policies to promote reconciliation of work-life and family-life (Policies)*Establish family leave policies meeting the stated needs of parents and  employees caring for sick family members (Policies)*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties*Create working conditions that support improved reconciliation of work and family life for women and men with care duties,No,Flexible Working,Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Promote Gender Equality and Women’s Empowerment,Implementation
167,166,Does the company monitor and evaluate all complaints [regarding sexual harassment and GBV in the workplace] and their specific gender dimension?,Safe & healthy workplace environment  ,,"WRK_WRYHAR_F_4056,WRK_HARASS_F_4057","% of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years",Implement a fair and respectful process and mechanisms for reporting and handling violations of policies (Government Management),No,"Sexual harassment,GBV",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
168,167,"Does the company punish an employee who violates the Sexual Harassment Policy, including business travel-related aspects and all other aspects mentioned above?",Safe & healthy workplace environment  ,,"WRK_SEXHAR_F_92,GBV_HRSPEN_T_163","Is there legislation on sexual harassment in employment?, Are there criminal penalties or civil remedies for sexual harassment in employment?",Implement a fair and respectful process and mechanisms for reporting and handling violations of policies (Government Management),No,"Sexual harassment,Business Travel",Practice,"Yes/no response contributing to sub-parameter score
",,,
169,168,"Does the company have a policy to continuously assess environmental risks regarding its adverse impact on the health and well-being of employees, its consumers and/or the population in the area where it operates as well as mitigation plans, especially those that will disproportionately create an impact on women?",Safe & healthy workplace environment  ,,,,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,"Environment,Healthcare",Policy,"Yes/no response contributing to sub-parameter score
",,,
170,169,"Does the company have diversity and inclusion initiatives, including policies and specific targets?",Safe & healthy workplace environment  ,,WRK_SRMANG_F_1030,% of senior and middle management positions held by women,"Prepare the company to be seen as inclusive for women with diverse social identities (Attraction)*Invite girls with diverse social identities to become familiar with the company (Attraction)*Use internship programs to promote technical jobs and the company as an employer of choice for women and men with diverse social identities (Talent Outreach)*Offer scholarships to female students with a focus on STEM subjects (Talent Outreach)*Consider targeted hiring to fill open positions and increase overall percentage of women in the company in general and/or in the technical areas (Recruiting & Hiring)*Participate in gender equality and diversity awards, rankings certification processes (Company Performance & Reporting)*Develop structured talent development plan and process to counteract bias and gender parity and diversity imbalances in talent pool (Talent Development)*Develop structured and longterm leadership development plan to include women with diverse social identities at all leadership levels (Leadership Development)*Provide mentoring for women with diverse social identities to cultivate their talent and mentoring for men to foster male allies (Talent Development)*Devise a targeted strategy to retain top female talent including high-performing women, women in key technical functions, and women demonstrating leadership potential (Retention)*Leverage existing women's and diversity networks to support development of good practices (Employee Engagement)*Support male engagement through identification of male change agents and motivating them to act as promoters and ambassadors for gender equality (Corporate Culture)*Establish a corporate-level equal employment opportunity (EEO) policy (Policy)",No,Diversity & Inclusion,Policy,"Yes/no response contributing to sub-parameter score
",,,
171,170,"Does the company report its progress and target improvements (if any) to the public (e.g., in its annual report)?",Safe & healthy workplace environment  ,,,,Disclose gender equality and diversity targets and/or key performance  indicators (KPIs) on gender equality and D&I in publicly available reports and indices (Company Reporting),No,"Gender Equality,Women's Empowerment",Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
172,171,"Does the company measure the eï¬€ectiveness of communication and training eï¬€orts [regarding sexual harassment and GBV in the workplace], e.g., through surveys and diagnostics to assess employeesâ€™ awareness of the policy, their attitudes towards sexual misconduct and the extent to which they observe that the commitment is actually lived up to by company representatives and embedded in the company's culture?",Safe & healthy workplace environment  ,,"WRK_WRYHAR_F_4056,WRK_HARASS_F_4057","% of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years",Use workplace climate and employee satisfaction surveys to identify gender equality and diversity and inclusion challenges (Retention),No,"Sexual harassment,GBV",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
173,172,Does the company provide a channel for employees to give feedback on diversity and inclusion related issues in the workplace?,Safe & healthy workplace environment  ,,,,"Establish system of regular check-ins with new hires in first year of employment (Onboarding)*Use workplace climate and employee satisfaction surveys to identify gender equality and diversity and inclusion challenges (Retention)*Engage senior leadership and staff in gender equality, diversity, and inclusion efforts (Employment Engagement) *Organize informal talks between the CEO and employees, ensuring inclusion of women with diverse social identities (Employment Engagement)*Leverage existing women's and diversity networks to support development of good practices (Employee Engagement)",No,Diversity & Inclusion,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
174,173,Does the company conduct an inclusion training program for its employees?,Safe & healthy workplace environment  ,,,,"Develop and conduct gender awareness, anti-discrimination, diversity and inclusion, and unconscious bias trainings (Training)",No,"Diversity & Inclusion,Training",Practice,"Yes/no response contributing to sub-parameter score
",,,
175,174,Does the company document all environmental incidents and their potential and actual impact on women and men?,Safe & healthy workplace environment  ,,,,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Environment,Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Measurement
176,175,Does the company clearly communicate its environmental policies to all employees?,Safe & healthy workplace environment  ,,,,Establish clear and gender-inclusive internal communication methods with all employees,No,Environment,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Communication
177,176,Does the company have a smoke-free workplace policy? ,Safe & healthy workplace environment  ,,"HBH_TOBACC_F_4539,ENV_MRTAIR_F_2016","% of women age 15+ currently using tobacco, Female mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 female population)",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Smoke-free Workplace,Policy,"Yes/no response contributing to sub-parameter score
",,,
178,177,Does the company involve women in decision making on its employeesâ€™ occupational health and safety?,Safe & healthy workplace environment  ,,,,Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,"Occupational Health & Safety,Equal Participation",Practice,"Yes/no response contributing to sub-parameter score
",,,
179,178,Has the company been subject to any environmental lawsuits or cited for environmental violations?,Safe & healthy workplace environment  ,,,,"Develop a gender-sensitive environmental policy, including mitigation and remediation plans ",No,Environment,Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Commitment
180,179,"Has the company developed occupational health and safety indicators (e.g., number of occupational injuries and diseases, and the number of workers involved and workdays lost)?",Safe & healthy workplace environment  ,,"ENV_HLTCOV_T_2017,WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","% of population with coverage of essential health services, # of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers","Collect, analyze, and report sex-disaggregated data on occupational injuries and diseases",No,Occupational Health & Safety,"Monitoring & Evaluation,Practice","Yes/no response contributing to sub-parameter score
",,,
181,180,Does the company implement mediation or other measures to follow through with concrete consequences for incidents that occur within the workplace?,Safe & healthy workplace environment  ,,"GBV_HRSPEN_T_163,WRK_WRYHAR_F_4056,WRK_HARASS_F_4057,WRK_SEXHAR_F_92","Are there criminal penalties or civil remedies for sexual harassment in employment?, % of female workers who worry about violence and harassment as a source of risk to their personal safety while working, % of female workers who have experienced, or know someone from work who has experienced, physical violence or harassment while working in the past two years, Is there legislation on sexual harassment in employment?",Implement a fair and respectful process and mechanisms for reporting and handling violations of policies (Government Management),No,Workplace Behavior & Violence,Practice,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Sexual Harassment and Gender-based Violence in the Workplace,Implementation
182,181,"Does the company have any policy and complaint mechanism around whistleblowing and subsequent retaliation to whistleblowers, and does it extend across the supply chain?",Safe & healthy workplace environment  ,,,,Implement a fair and respectful process and mechanisms for reporting and handling violations of policies (Government Management),No,"Whistleblowing,Sexual harassment,GBV",Policy,"Yes/no response contributing to sub-parameter score
",,,
183,182,Does the company offer equal access to occupational health services and healthcare for all workers?,Safe & healthy workplace environment  ,,"ENV_HLTCOV_T_2017,WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","% of population with coverage of essential health services, # of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers","Ensure that benefits  such as medical coverage, tuition reimbursement and retirement savings  are equally accessible to male and female employees, including those working part-time (Benefits)*Institute an inclusive employee health and wellness program to improve the health, wellbeing, and productivity to support all female and male employees, including those working part-time (Benefits)*Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies)",No,Healthcare,Practice,"Yes/no response contributing to sub-parameter score
",,,
184,183,Does the company have any policies around whistleblowing and subsequent retaliation to whistleblowers?,Safe & healthy workplace environment  ,,,,Implement a fair and respectful process and mechanisms for reporting and handling violations of policies (Government Management),No,Whistleblowing,Policy,"Yes/no response contributing to sub-parameter score
",Safe and Healthy Workplace Environment,Approach to Environmental Policies,Implementation
185,184,"Does the company consult with men and women employees to determine if health, safety and hygiene services and protections meet employee needs?",Safe & healthy workplace environment  ,,"ENV_FMPOIS_F_5007,ENV_HLTCOV_T_2017,WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","Female mortality rate attributed to unintentional poisoning (per 100,000 female population), % of population with coverage of essential health services, # of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,"Occupational Health & Safety,SHRH & Hygiene",Monitoring & Evaluation,"Yes/no response contributing to sub-parameter score
",,,
186,185,"Does the company provide gender-sensitive health talks on issues related to occupational health and safety, including sexual and reproductive health and rights, and nutrition to support health and a decent work environment?",Safe & healthy workplace environment  ,,"WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","# of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers","Institute an inclusive employee health and wellness program to improve the health, wellbeing, and productivity to support all female and male employees, including those working part-time (Benefits)*Establish an Employee Assistance Program (EAP) to support the mental and emotional health of female and male employees (Benefits)",No,SHRH & Hygiene,Communication/ Reporting,"Yes/no response contributing to sub-parameter score
",,,
187,186,"Where applicable, does the company provide personal protective equipment for both men and women, especially taking into consideration the needs of pregnant and nursing women?",Safe & healthy workplace environment  ,,"ENV_FMPOIS_F_5007,ENV_HLTCOV_T_2017,WRK_NONFTL_F_2021,WRK_FTLINJ_F_2023","Female mortality rate attributed to unintentional poisoning (per 100,000 female population), % of population with coverage of essential health services, # of non-fatal occupational injuries per 100,000 female workers, # of fatal occupational injuries per 100,000 female workers",Establish health and safety policy that explicitly and equally considers the needs of women and men (Policies),No,Occupational Health & Safety,Practice,"Yes/no response contributing to sub-parameter score
",,,
188,187,Does the company have an organization-wide gender equality strategy that includes a business case or rationale for investment in gender equality?,Safe & healthy workplace environment  ,,,,"Develop a business case for gender equality, diversity, and inclusion based on company-specific gender and diversity assessment (Corporate Culture & Leadership)*Develop a strategy and change management plan to promote gender equality, diversity, and inclusion throughout the company (Corporate Culture)",No,Gender Equality,Practice,"Yes/no response contributing to sub-parameter score
",,,
