Question_id,Vector,Parameter,Par,Survey_Question,Question_type,Response_type,score_value,Survey Category
300,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company consider gender aspects of its customers when designing or offering
new products and services (e.g., size, design)?",Dichotomous,Yes/No,,
301,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,Does the company employ women sales agents?,Dichotomous,Yes/No,,
302,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,Does the company employ women customer relations agents?,Dichotomous,Yes/No,,
303,"Women-Powered
Value Chains",Approach to Target Women Customers,Implementation,"Does the company provide training on unconscious biases for employees who have direct
exposure to customers?",Dichotomous,Yes/No,,
304,"Women-Powered
Value Chains",Approach to Target Women Customers,Measurement,"Does the company conduct customer service to verify the availability and function of products
and services to fulfill their unmet needs?",Dichotomous,Yes/No,,
305,"Women-Powered
Value Chains",Approach to Target Women Customers,Measurement,"Does the company track the number of marketing complaints that relate to gender stereotyping
or negative portrayals of women?",Dichotomous,Yes/No,,
306,"Women-Powered
Value Chains",Approach to Target Women Customers,Measurement,"Does the company track segmented customer data to understand women's spending
patterns and needs?",Dichotomous,Yes/No,,
307,"Women-Powered
Value Chains",Approach to Target Women Customers,Measurement,Does the company track the revenue and profit generated by women customers?,Dichotomous,Yes/No,,
308,"Women-Powered
Value Chains",Approach to Target Women Customers,Accountability and Transparency,"Does the company communicate publicly to company stakeholders its commitment to
ensuring products and services are developed with the needs of women and men in mind?",Dichotomous,Yes/No,,
309,"Women-Powered
Value Chains",Approach to Target Women Customers,Accountability and Transparency,"Does the company communicate to the Board of Directors its commitment to ensuring
products and services are developed with the needs of women and men in mind?",Dichotomous,Yes/No,,
310,"Women-Powered
Value Chains",Approach to Target Women Customers,Accountability and Transparency,"Does the company communicate publicly to company stakeholders its commitment not to
perpetuate gender stereotypes? Is there an easily accessible communication channel for
the public to provide feedback and report incidences where stereotypes are perceived to
be perpetuated?",Dichotomous,Yes/No,,
311,"Women-Powered
Value Chains",Approach to Target Women Customers,Accountability and Transparency,"Does the company communicate to the Board of Directors its commitment to not perpetu-
ate gender stereotypes?",Dichotomous,Yes/No,,
312,"Women-Powered
Value Chains",Approach to Target Women Customers,Accountability and Transparency,"Does the company conduct regular audits and product testing to make sure products and
services meet the specific needs of women and men?",Dichotomous,Yes/No,,
313,"Women-Powered
Value Chains",Approach to Target Women Customers,Accountability and Transparency,"Does the company have processes in place to make sure corrective action is taken when
new information suggests products and services do not sufficiently meet the needs of
women or perpetuate stereotypes?",Dichotomous,Yes/No,,
314,"Women-Powered
Value Chains",Women in Procurement,Ratio of no. of women in procurement,End of Year Number of Women Employees in Procurement,User_Input,Integer,,
315,"Women-Powered
Value Chains",Women in Procurement,Ratio of no. of women in procurement,End of Year Number of Total Employees in Procurement,User_Input,Integer,,
316,"Women-Powered
Value Chains",Women in Marketing and Product Design,Ratio of women employees in marketing and product design,End of Year Number of Women Employees in Marketing & Product Design,User_Input,Integer,,
317,"Women-Powered
Value Chains",Women in Marketing and Product Design,Ratio of women employees in marketing and product design,End of Year Number of Total Employees in Marketing & Product Design,User_Input,Integer,,
